30.5340	38.7760	3.3
31.2379	38.5261	2.5
31.1512	39.0197	2.5
30.5437	38.5329	2.3
31.0401	38.7189	2.6
31.0268	38.5935	2.2
30.2465	38.7442	2.4
31.9170	40.1608	4.5
33.1186	39.5583	2.7
32.3291	40.0181	4.0
32.1628	39.5834	4.6
31.3627	40.1840	5.2
33.2244	39.9214	2.4
33.4160	40.1061	4.2
32.2445	40.2126	4.5
32.6736	40.2233	4.7
33.0714	40.1205	3.9
27.9966	40.3319	3.0
28.6323	39.5780	2.6
28.1641	39.9171	2.5
29.9774	40.1411	3.4
30.3083	40.2822	4.2
30.0183	40.3574	4.4
30.1790	40.0231	3.0
30.5208	40.1769	4.4
32.2059	40.7925	4.3
30.7898	40.3984	4.4
32.0760	40.9381	4.6
31.0112	40.5776	6.9
32.0638	40.7174	5.4
32.0370	40.7711	4.9
31.6175	40.6846	6.9
31.2094	40.4562	4.9
29.5088	40.0671	4.9
28.3939	40.0347	2.0
28.9282	40.3510	2.7
29.2907	40.4224	5.2
29.1296	40.1824	4.1
28.9756	40.2269	3.8
29.0527	40.1960	3.4
29.0752	40.2257	4.9
29.1221	40.3630	4.2
29.2993	40.4941	3.6
28.3626	40.2140	3.1
28.8821	39.7763	2.1
29.2587	40.4496	3.0
29.1946	40.2171	3.9
29.0946	40.4763	5.1
29.0333	40.3611	3.7
29.5418	40.3776	4.9
28.9868	39.9112	3.1
29.6525	40.2769	5.0
29.1794	40.4103	4.1
29.2127	40.1947	3.5
29.1074	40.1783	1.4
29.0656	40.1783	2.2
28.9680	40.2091	3.7
28.9640	40.2515	3.7
28.9803	40.2552	3.9
29.0959	40.2658	3.8
29.0579	40.2062	4.3
29.0893	40.2055	4.9
29.1390	40.1886	3.7
29.0986	40.4154	5.3
29.4125	40.3974	3.8
29.1672	40.4241	5.3
33.6104	40.6083	3.0
32.8834	40.8149	4.3
33.0822	40.6124	5.0
33.6232	40.9311	3.9
33.1978	40.9448	4.5
33.9876	40.3460	3.7
30.4973	39.7893	4.1
30.5325	39.7211	3.5
30.4558	39.7487	1.0
30.1460	39.8175	4.2
31.1830	39.5197	2.8
30.6966	39.4463	3.2
30.4017	39.7713	3.4
30.5724	40.0275	3.5
30.9584	39.7668	4.1
31.4926	39.8585	3.5
31.5351	39.4472	2.9
29.1567	40.9111	2.8
29.0095	41.0582	3.1
29.6082	41.1719	3.8
28.9761	41.0119	3.1
28.5782	41.0206	1.0
28.9482	41.0943	2.6
28.7585	41.0273	4.2
29.2755	40.8146	3.2
29.3563	41.0589	1.0
28.4649	41.1357	3.0
29.0273	41.1345	2.8
29.0697	40.9679	2.9
29.0671	41.0076	2.2
28.7296	40.9846	4.5
28.2596	41.0849	3.7
29.1652	41.0156	3.3
34.0367	41.0132	3.1
33.7969	41.4164	3.2
33.3284	41.2456	2.9
33.5536	41.2062	2.8
33.4748	41.4799	4.5
33.7595	41.9740	2.3
33.2298	41.8111	3.2
33.7094	41.8019	2.8
30.0250	40.7858	3.5
29.9700	40.6804	2.7
29.9694	40.6744	4.7
29.9329	40.7602	1.0
30.1525	41.0691	3.3
29.5888	40.6844	4.0
29.8400	40.7245	5.2
30.0267	40.6699	4.2
30.0274	40.7676	1.0
30.0263	40.7483	4.7
29.9172	40.7665	3.4
29.9149	40.7625	4.8
29.9047	40.7609	4.4
30.1122	40.7175	5.4
29.3879	40.7545	3.6
29.3813	40.8305	3.1
30.2315	41.1721	4.0
29.9167	40.7122	5.5
29.3920	40.7888	3.9
29.8193	40.6982	3.7
29.5640	40.6056	4.8
29.9716	40.7709	5.7
29.8521	40.7623	4.0
29.9540	40.7823	3.1
31.7258	38.8206	3.1
29.4004	38.9948	2.8
29.2491	39.3361	2.2
30.0143	39.4053	3.0
28.9785	39.0928	2.7
29.9812	38.8524	2.3
30.1065	39.0578	1.3
29.6200	39.1960	2.5
29.6174	39.8062	3.6
30.3801	40.7371	3.8
30.2700	40.6908	5.6
30.2932	40.5191	6.3
30.6225	40.6703	6.9
30.3580	40.7029	5.3
30.1561	40.5059	4.2
30.3054	40.8559	4.5
30.4708	40.8965	5.0
30.3012	41.0366	3.8
30.3939	40.7670	6.2
30.6822	41.0976	5.6
30.3654	40.7626	5.2
27.9316	40.9734	2.4
27.7763	41.1418	3.0
31.7788	41.4511	1.3
31.9667	41.2248	4.7
31.4092	41.2900	2.4
33.5180	39.8497	3.1
33.6113	39.6682	1.7
34.0327	39.9403	3.4
28.8266	40.5131	4.0
29.0788	40.6381	4.5
29.2473	40.6576	4.9
29.3060	40.5642	5.2
29.2668	40.5900	3.9
29.3271	40.6594	4.4
29.5088	40.6929	3.8
28.8883	40.5228	2.6
28.9707	40.4630	4.6
32.6237	41.2046	3.9
32.5322	40.9563	4.0
32.9557	41.4269	4.0
31.1481	40.8439	8.6
31.1644	40.8342	9.5
31.1804	40.8611	8.7
31.1520	40.9028	8.3
31.1124	40.7671	8.4
31.2300	40.8613	5.2
31.0144	40.7810	8.7
31.1428	41.0900	6.4
31.4487	40.9614	5.6
29.2092	40.5905	4.0
